,Latitude,Longitude,Value,Bathy,Sector
1,37.25897980148502,-59.3,88.04606789424417,"[1003, 5163.03076171875]",0.0
2,37.24995686563234,-59.3,88.04978137920247,"[2007, 5167.09033203125]",0.0
3,37.240933929779665,-59.3,88.05349035487939,"[3011, 5166.5244140625]",0.0
4,37.231910993927,-59.3,88.05719509329765,"[4015, 5166.5576171875]",0.0
5,37.22288805807432,-59.3,88.06089653237328,"[5019, 5166.21142578125]",0.0
6,37.21386512222165,-59.3,88.06459277272671,"[6022, 5161.037109375]",0.0
7,37.204842186368964,-59.3,88.06828474014407,"[7026, 5158.3720703125]",0.0
8,37.1958192505163,-59.3,88.07197280926115,"[8030, 5153.24853515625]",0.0
9,37.186796314663624,-59.3,88.07565633769102,"[9034, 5144.69970703125]",0.0
10,37.17777337881095,-59.3,88.07933485493547,"[10038, 5141.13134765625]",0.0
11,37.16875044295828,-59.3,88.0830102329235,"[11041, 5149.0400390625]",0.0
12,37.1597275071056,-59.3,88.08668036996235,"[12045, 5142.1455078125]",0.0
13,37.15070457125292,-59.3,88.09034650898951,"[13049, 5146.2509765625]",0.0
14,37.14168163540025,-59.3,88.0940072065489,"[14053, 5152.68408203125]",0.0
15,37.13265869954758,-59.3,88.09766339244592,"[15057, 5167.26708984375]",0.0
16,37.1236357636949,-59.3,88.1013156471569,"[16060, 5176.1357421875]",0.0
17,37.11461282784222,-59.3,88.10496201160271,"[17064, 5177.283203125]",0.0
18,37.10558989198955,-59.3,88.10860560031492,"[18068, 5175.09619140625]",0.0
19,37.096566956136876,-59.3,88.11224245401098,"[19072, 5168.38232421875]",0.0
20,37.0875440202842,-59.3,88.11587534526637,"[20076, 5159.63720703125]",0.0
21,37.07852108443153,-59.29999999999999,88.11950439688857,"[21079, 5141.7333984375]",0.0
22,37.06949814857885,-59.3,88.12312787731679,"[22083, 5124.197265625]",0.0
23,37.060475212726175,-59.3,88.12674615053444,"[23087, 5100.49365234375]",0.0
24,37.05145227687351,-59.3,88.13036046259049,"[24091, 5076.05419921875]",0.0
25,37.04242934102083,-59.3,88.13396898806025,"[25095, 5048.02685546875]",0.0
26,37.03340640516816,-59.300000000000004,88.13757307224881,"[26098, 5021.67138671875]",0.0
27,37.02438346931548,-59.3,88.1411709341381,"[27102, 4985.6787109375]",0.0
28,37.01536053346281,-59.300000000000004,88.14476622343003,"[28106, 4964.4111328125]",0.0
29,37.006337597610134,-59.3,88.14835423169112,"[29110, 4946.4736328125]",0.0
30,36.99731466175746,-59.300000000000004,88.15193719617636,"[30114, 4933.26220703125]",0.0
31,36.98829172590479,-59.3,88.1555151473948,"[31118, 4923.38818359375]",0.0
32,36.97926879005211,-59.300000000000004,88.15908821055297,"[32121, 4919.71142578125]",0.0
33,36.97024585419943,-59.3,88.1626560821341,"[33125, 4915.8603515625]",0.0
34,36.96122291834676,-59.300000000000004,88.16621917167339,"[34129, 4919.19091796875]",0.0
35,36.952199982494086,-59.3,88.16977570749555,"[35133, 4927.6904296875]",0.0
36,36.94317704664141,-59.300000000000004,88.17332763528202,"[36137, 4941.93359375]",0.0
37,36.93415411078874,-59.3,88.17687365317937,"[37140, 4959.4189453125]",0.0
38,36.92513117493606,-59.300000000000004,88.18041418817043,"[38144, 4982.56005859375]",0.0
39,36.916108239083385,-59.3,88.18395001731008,"[39148, 5024.48583984375]",0.0
40,36.90708530323071,-59.3,88.187479198143,"[40152, 5052.38916015625]",0.0
41,36.89806236737804,-59.3,88.19100391152381,"[41156, 5084.64208984375]",0.0
42,36.88903943152537,-59.3,88.19452259445657,"[42159, 5117.35009765625]",0.0
43,36.880016495672685,-59.3,88.19803519639044,"[43163, 5147.13134765625]",0.0
44,36.87099355982002,-59.3,88.20154225985792,"[44167, 5172.5888671875]",0.0
45,36.86197062396734,-59.3,88.20504300885668,"[45171, 5199.1962890625]",0.0
46,36.85294768811467,-59.3,88.20853877310032,"[46175, 5207.2197265625]",0.0
47,36.84392475226199,-59.3,88.21202897539882,"[47178, 5210.92138671875]",0.0
48,36.83490181640932,-59.3,88.21551286211513,"[48182, 5204.54345703125]",0.0
49,36.825878880556644,-59.3,88.21899030099667,"[49186, 5200.2138671875]",0.0
50,36.81685594470397,-59.3,88.22246161293282,"[50190, 5201.41845703125]",0.0
51,36.8078330088513,-59.3,88.22592782520584,"[51194, 5199.72509765625]",0.0
52,36.79881007299862,-59.3,88.2293869973567,"[52197, 5199.49267578125]",0.0
53,36.78978713714594,-59.3,88.23284125322238,"[53201, 5197.22119140625]",0.0
54,36.78076420129327,-59.3,88.23628813066816,"[54205, 5197.115234375]",0.0
55,36.771741265440596,-59.3,88.23972985162888,"[55209, 5197.40625]",0.0
56,36.76271832958792,-59.3,88.24316388180102,"[56213, 5197.17578125]",0.0
57,36.75369539373525,-59.3,88.24659241295362,"[57216, 5200.056640625]",0.0
58,36.74467245788257,-59.3,88.2500151889119,"[58220, 5200.640625]",0.0
59,36.735649522029895,-59.3,88.25343015479578,"[59224, 5202.37451171875]",0.0
60,36.726626586177225,-59.3,88.25683981249125,"[60228, 5201.79736328125]",0.0
61,36.71760365032455,-59.29999999999999,88.26024307887428,"[61232, 5200.427734375]",0.0
62,36.70858071447188,-59.3,88.26363805793801,"[62236, 5196.16650390625]",0.0
63,36.699557778619194,-59.29999999999999,88.26702819961054,"[63239, 5208.95751953125]",0.0
64,36.69053484276653,-59.3,88.27041140758763,"[64243, 5225.69921875]",0.0
65,36.68151190691385,-59.29999999999999,88.27378709751176,"[65247, 5227.052734375]",0.0
66,36.67248897106118,-59.3,88.27715638156266,"[66251, 5227.03515625]",0.0
67,36.66346603520851,-59.29999999999999,88.28051930878036,"[67255, 5223.5595703125]",0.0
68,36.65444309935583,-59.3,88.2838743914032,"[68258, 5219.04345703125]",0.0
69,36.645420163503154,-59.29999999999999,88.28722409293766,"[69262, 5213.46923828125]",0.0
70,36.636397227650484,-59.3,88.29056582317256,"[70266, 5197.87109375]",0.0
71,36.62737429179781,-59.3,88.29390064997423,"[71270, 5122.64501953125]",0.0
72,36.61835135594513,-59.300000000000004,88.29722809221235,"[72274, 5026.85546875]",0.0
73,36.60932842009245,-59.3,88.3005488584516,"[73277, 4933.5244140625]",0.0
74,36.60030548423978,-59.300000000000004,88.30386242118828,"[74281, 4829.904296875]",0.0
75,36.591282548387106,-59.3,88.30716894092706,"[75285, 4631.4111328125]",0.0
76,36.58225961253443,-59.300000000000004,88.310467228622,"[76289, 4453.38818359375]",0.0
77,36.57323667668176,-59.3,88.31375835058654,"[77293, 4295.263671875]",0.0
78,36.56421374082908,-59.3,88.31704294371266,"[78296, 4127.181640625]",0.0
79,36.555190804976405,-59.3,88.32032001385812,"[79300, 3990.1181640625]",0.0
80,36.546167869123735,-59.3,88.32358965565368,"[80304, 3760.55126953125]",0.0
81,36.53714493327106,-59.3,88.32685030823987,"[81308, 3316.401123046875]",0.0
82,36.52812199741839,-59.3,88.33010531042657,"[82312, 3080.6826171875]",0.0
83,36.51909906156571,-59.3,88.33335123660578,"[83315, 2857.60205078125]",0.0
84,36.51007612571304,-59.3,88.3365899124386,"[84319, 2682.171875]",0.0
85,36.50105318986036,-59.3,88.33982070091358,"[85323, 2562.9541015625]",0.0
86,36.49203025400769,-59.3,88.34304265625278,"[86327, 2477.300048828125]",0.0
87,36.48300731815502,-59.3,88.34625854363503,"[87331, 2445.564453125]",0.0
88,36.47398438230234,-59.3,88.34946566499414,"[88334, 2514.27587890625]",0.0
89,36.464961446449664,-59.3,88.35266510400285,"[89338, 2603.50927734375]",0.0
90,36.455938510596994,-59.3,88.35585526303055,"[90342, 2861.572509765625]",0.0
91,36.44691557474432,-59.3,88.35903776158219,"[91346, 3217.589111328125]",0.0
92,36.43789263889164,-59.3,88.36221250776813,"[92350, 3479.4384765625]",0.0
93,36.42886970303897,-59.3,88.36537900080324,"[93354, 3729.32958984375]",0.0
94,36.41984676718629,-59.3,88.36853595904296,"[94357, 3842.675537109375]",0.0
95,36.410823831333616,-59.3,88.37168623258898,"[95361, 4003.289306640625]",0.0
96,36.40180089548094,-59.3,88.37482773876468,"[96365, 4228.61328125]",0.0
97,36.39277795962827,-59.3,88.3779593917589,"[97369, 4385.43212890625]",0.0
98,36.38375502377559,-59.3,88.38108371854634,"[98373, 4500.24267578125]",0.0
99,36.374732087922915,-59.3,88.38419971149722,"[99376, 4632.2255859375]",0.0
100,36.36570915207025,-59.3,88.38730557656402,"[100380, 4664.2021484375]",0.0
101,36.35668621621757,-59.29999999999999,88.3904035356282,"[101384, 4644.0283203125]",0.0
102,36.3476632803649,-59.3,88.39349308780098,"[102388, 4614.134765625]",0.0
103,36.33864034451222,-59.29999999999999,88.39657321366792,"[103392, 4546.30712890625]",0.0
104,36.32961740865955,-59.3,88.39964401452914,"[104395, 4503.39404296875]",0.0
105,36.32059447280687,-59.29999999999999,88.40270575734536,"[105399, 4412.93017578125]",0.0
106,36.3115715369542,-59.3,88.40575848374226,"[106403, 4406.06982421875]",0.0
107,36.30254860110153,-59.29999999999999,88.40880262846758,"[107407, 4409.73388671875]",0.0
108,36.29352566524885,-59.3,88.41183706117252,"[108411, 4508.2314453125]",0.0
109,36.28450272939617,-59.29999999999999,88.41486054575637,"[109414, 4471.1220703125]",0.0
110,36.275479793543504,-59.3,88.41787748966516,"[110418, 4576.18798828125]",0.0
111,36.26645685769083,-59.29999999999999,88.42088334264847,"[111422, 4601.94384765625]",0.0
112,36.25743392183815,-59.3,88.42387967470438,"[112426, 4622.71484375]",0.0
113,36.24841098598548,-59.29999999999999,88.4268674835526,"[113430, 4637.44287109375]",0.0
114,36.2393880501328,-59.3,88.42984498061216,"[114433, 4654.994140625]",0.0
115,36.230365114280126,-59.29999999999999,88.43281294987628,"[115437, 4685.33154296875]",0.0
116,36.221342178427456,-59.3,88.43577019731416,"[116441, 4709.42822265625]",0.0
117,36.212319242574786,-59.3,88.43871854392646,"[117445, 4734.81494140625]",0.0
118,36.2032963067221,-59.3,88.44165613397442,"[118449, 4745.44140625]",0.0
119,36.194273370869425,-59.3,88.44458483474907,"[119452, 4741.2490234375]",0.0
120,36.18525043501676,-59.3,88.4475028142148,"[120456, 4734.25341796875]",0.0
121,36.176227499164085,-59.300000000000004,88.45040958671208,"[121460, 4763.95947265625]",0.0
122,36.16720456331141,-59.3,88.45330799435308,"[122464, 4797.87158203125]",0.0
123,36.15818162745873,-59.3,88.4561956789342,"[123468, 4882.23583984375]",0.0
124,36.14915869160606,-59.3,88.45907153892233,"[124472, 4900.3388671875]",0.0
125,36.140135755753384,-59.300000000000004,88.46193787814707,"[125475, 4907.83984375]",0.0
126,36.131112819900714,-59.3,88.46479386432912,"[126479, 4902.3759765625]",0.0
127,36.12208988404804,-59.3,88.46763851317309,"[127483, 4894.3681640625]",0.0
128,36.11306694819536,-59.3,88.47047387831671,"[128487, 4890.953125]",0.0
129,36.10404401234268,-59.300000000000004,88.47329604779802,"[129491, 4899.6845703125]",0.0
130,36.09502107649001,-59.3,88.47610935834453,"[130494, 4916.427734375]",0.0
131,36.08599814063734,-59.3,88.47890985727486,"[131498, 4943.32763671875]",0.0
132,36.07697520478466,-59.3,88.48169995436695,"[132502, 4977.31787109375]",0.0
133,36.067952268932,-59.300000000000004,88.48447987172946,"[133506, 5013.04052734375]",0.0
134,36.05892933307931,-59.3,88.4872487728899,"[134510, 5039.23193359375]",0.0
135,36.049906397226636,-59.3,88.49000552695742,"[135513, 5053.85791015625]",0.0
136,36.040883461373966,-59.3,88.49275052744122,"[136517, 5055.19091796875]",0.0
137,36.031860525521296,-59.300000000000004,88.49548489332341,"[137521, 5037.41650390625]",0.0
138,36.02283758966861,-59.3,88.49820754007052,"[138525, 5015.9296875]",0.0
139,36.01381465381594,-59.3,88.50091849586883,"[139529, 4999.85546875]",0.0
140,36.00479171796327,-59.3,88.50361728284946,"[140532, 4986.59375]",0.0
141,35.995768782110595,-59.3,88.50630537795675,"[141536, 4970.609375]",0.0
142,35.98674584625792,-59.3,88.50897991870204,"[142540, 4960.93017578125]",0.0
143,35.97772291040525,-59.3,88.51164296999491,"[143544, 4960.81298828125]",0.0
144,35.96869997455257,-59.3,88.51429396710085,"[144548, 4966.36865234375]",0.0
145,35.959677038699894,-59.3,88.5169338561233,"[145551, 4976.09375]",0.0
146,35.950654102847224,-59.3,88.51956069709215,"[146555, 4988.05908203125]",0.0
147,35.94163116699455,-59.3,88.52217505007263,"[147559, 5001.2421875]",0.0
148,35.93260823114187,-59.3,88.52477726840596,"[148563, 5006.85986328125]",0.0
149,35.9235852952892,-59.3,88.52736719717834,"[149567, 5012.998046875]",0.0
150,35.91456235943652,-59.3,88.52994375254534,"[150570, 5018.71142578125]",0.0
151,35.905539423583846,-59.3,88.53250803412931,"[151574, 5021.0859375]",0.0
152,35.89651648773117,-59.3,88.53505955146505,"[152578, 5024.82177734375]",0.0
153,35.88749355187851,-59.3,88.53759758422785,"[153582, 5033.2353515625]",0.0
154,35.87847061602582,-59.3,88.5401223295099,"[154586, 5041.05224609375]",0.0
155,35.86944768017315,-59.3,88.54263530328942,"[155590, 5052.27490234375]",0.0
156,35.860424744320476,-59.3,88.54513317904338,"[156593, 5065.8828125]",0.0
157,35.851401808467806,-59.3,88.54761973193723,"[157597, 5089.869140625]",0.0
158,35.84237887261513,-59.3,88.55009283439028,"[158601, 5104.3408203125]",0.0
159,35.83335593676246,-59.3,88.55255085985607,"[159605, 5114.2001953125]",0.0
160,35.82433300090978,-59.3,88.55499619900885,"[160609, 5115.76953125]",0.0
161,35.815310065057105,-59.3,88.5574272076648,"[161612, 5113.06689453125]",0.0
162,35.80628712920443,-59.3,88.55984519816357,"[162616, 5110.15869140625]",0.0
163,35.79726419335176,-59.3,88.56224872149485,"[163620, 5104.85498046875]",0.0
164,35.78824125749908,-59.29999999999999,88.5646395671015,"[164624, 5100.1982421875]",0.0
165,35.779218321646404,-59.3,88.56701406254282,"[165628, 5104.06591796875]",0.0
